Clinton Bank & Trust Company,Sq 3  Liberty  St. Helena & Bank Sts,CLINTON,LA,70722,-37.685944,145.141613,
Caribank  N.A.,1190 South Dixie Highway,CORAL GABLES,FL,33134,25.715057,-80.276104,
Biscayne Bank,3121 Commodore Plaza  Third Floor,CORAL GABLES,FL,33133,25.727028,-80.244116,http://www.biscaynebank.com
Coconut Grove Bank,2701 South Bayshore Drive,CORAL GABLES,FL,33133,25.728676,-80.237479,http://www.coconutgrovebank.com
Sun Bank of West Dade,11291 S.W. 40th Street,OLYMPIA HEIGHTS,FL,33165,25.732216,-80.377512,
Imperial Bank,4201 Le Jeune Road,CORAL GABLES,FL,33146,25.73311,-80.262009,
Premier American Bank,5900 Bird Road,MIAMI,FL,33155,25.733805,-80.290675,http://www.premieramericanbank.com
Panamerican Bank,2770 S.W. 27th Avenue,CORAL GABLES,FL,33133,25.740384,-80.237912,
Plaza Bank of Miami,3001 Ponce De Leon Boulevard,CORAL GABLES,FL,33134,25.744738,-80.258384,
Professional Federal Savings Bank,3001 Ponce De Leon Boulevard,CORAL GABLES,FL,33134,25.744738,-80.258384,
Professional Savings Bank,3001 Ponce De Leon Boulevard,CORAL GABLES,FL,33134,25.744738,-80.258384,
Professional Savings Bank,3001 Ponce De Leon Blvd,CORAL GABLES,FL,33134,25.744738,-80.258384,
City National Bank of Coral Gables,2701 Le Jeune Road,CORAL GABLES,FL,33134,25.746859,-80.262618,
Bank of Coral Gables,2701 Ponce De Leon Boulevard,CORAL GABLES,FL,33134,25.747094,-80.258538,
Interamerican Bank  A FSB,9190 Coral Way,OLYMPIA HEIGHTS,FL,33165,25.74738,-80.343493,http://www.interamericanbank.com
Barnett Bank at Westchester  National Association,8585 Coral Way 24th S.W.,MIAMI,FL,33155,25.747771,-80.333109,
Flagship First National Bank of Coral Gables,100 Miracle Mile,CORAL GABLES,FL,33134,25.749634,-80.256805,
BAC Florida Bank,169 Miracle Mile  Suite R10,CORAL GABLES,FL,33134,25.749672,-80.257955,http://www.bacflorida.com
Florida National Bank at Coral Gables,169 Miracle Mile,CORAL GABLES,FL,33134,25.749672,-80.257955,
Brickellbanc Savings Association,2666 Brickell Avenue,MIAMI,FL,33129,25.749943,-80.204644,
Sun American Bank,3400 Coral Way,CORAL GABLES,FL,33145,25.749956,-80.249669,http://www.sunamericanbank.com
Gulf Bank,3400 Coral Way,CORAL GABLES,FL,33145,25.749956,-80.249669,
Terrabank  National Association,3191 Coral Way,CORAL GABLES,FL,33145,25.750185,-80.24591,http://www.terrabank.com
TotalBank,2720 Coral Way,CORAL GABLES,FL,33145,25.750253,-80.238496,http://www.totalbank.com
Southeast National Bank of Coral Way,1699 Coral Way,CORAL GABLES,FL,33145,25.75093,-80.221859,
Bank of Coral Gables,95 Merrick Way  Suite 106,CORAL GABLES,FL,33134,25.75146,-80.256531, 
University Federal Savings and Loan Association,2222 Ponce De Leon Blvd,CORAL GABLES,FL,33134,25.751824,-80.258787,
Bankers Savings Bank,2222 Ponce De Leon Boulevard,CORAL GABLES,FL,33134,25.751824,-80.258787,
Gibraltar Bank  FSB,220 Alhambra Circle  Fifth Floor,CORAL GABLES,FL,33134,25.752026,-80.25922,
Commercebank  National Association,220 Alhambra Circle - 12th Floor,CORAL GABLES,FL,33134,25.752026,-80.25922,http://www.commercebankfl.com
BankUnited  FSB,255 Alhambra Circle,CORAL GABLES,FL,33134,25.752122,-80.259962,http://www.bankunited.com
International Bank of Miami  National Associat,121 Alhambra Plaza,CORAL GABLES,FL,33134,25.752342,-80.257275,
The International Bank of Miami  National Association,121 Alhambra Plaza,CORAL GABLES,FL,33134,25.752342,-80.257275,http://www.tibom.com
Private Bank & Trust  National Association,Two Alhambra Plaza  Penthouse 11,CORAL GABLES,FL,33134,25.75237,-80.25477,
BBU Bank,150 Alhambra Circle  Suite 100,CORAL GABLES,FL,33134,25.752605,-80.257925, 
Bank M,2600 S.W. Third Avenue,MIAMI,FL,33129,25.755382,-80.208373,
Gibraltar Private Bank & Trust Co.,220 Alhambra Circle  Fifth Floor,CORAL GABLES,FL,33134,25.75558281,-80.26957703,http://www.gibraltarprivate.com
Coral Gables Federal Savings and Loan Association,2511 Ponce De Leon Boulevard,CORAL GABLES,FL,33134,25.75558281,-80.26957703,
Commercial Bank of Florida,1550 S.W. 57th Avenue,MIAMI,FL,33144,25.756522,-80.287604,http://www.commercialbankfl.com
Sun Bank of Coral Gables,1300 Ponce De Leon Boulevard,CORAL GABLES,FL,33134,25.759667,-80.258983,
Espirito Santo Bank,1395 Brickell Avenue,MIAMI,FL,33131,25.760454,-80.192117,http://www.esbf.com
Pacific National Bank,1390 Brickell Avenue,MIAMI,FL,33131,25.760561,-80.192233,http://www.pnb.com
First National Bank of Miami,1390 Brickell Avenue,MIAMI,FL,33131,25.760561,-80.192233,
South Florida Savings Bank,1390 Brickell Avenue,MIAMI,FL,33131,25.760561,-80.192233,
Mellon United National Bank,1399 S.W. First Avenue,MIAMI,FL,33130,25.760639,-80.195107,
Citizens Federal Bank  A FSB,1221 Brickell Avenue,MIAMI,FL,33131,25.761588,-80.191822,
Union Planters Bank of Florida,1221 Brickell Avenue,MIAMI,FL,33131,25.761588,-80.191822,
Merchants Bank of Miami,950 S.W. 57th Avenue,MIAMI,FL,33144,25.761977,-80.287826,
Southeast National Bank of Tamiami,12200 S.W. 8th Street,MIAMI,FL,33144,25.762057,-80.336112,
Helm Bank,1200 Brickell Avenue  Suite 310,MIAMI,FL,33131,25.762167,-80.191835,
Intercredit Bank  National Association,1200 Brickell Avenue  4th Floor,MIAMI,FL,33131,25.762167,-80.191835,http://www.intercrbank.com
Pinebank  National Association,1001 South Bayshore Drive,MIAMI,FL,33131,25.762294,-80.18963,
Barnett Bank at Midway  National Association,7760 West Flager Street,MIAMI,FL,33144,25.76256371,-80.30963135,
Delta National Bank and Trust Company of Florida,1221 Brickell Avenue  5th Floor,MIAMI,FL,33131,25.76285172,-80.18950653,
Southeast Bank  National Association,One Southeast Financial Center,MIAMI,FL,33131,25.76285172,-80.18950653,
UNION CREDIT BANK,1150 South Miami Avenue,MIAMI,FL,33155,25.763007,-80.193178,http://www.unioncrbank.com
Mellon United National Bank,1111 Brickell Avenue,MIAMI,FL,33131,25.763088,-80.191441,http://www.mellonunited.com
Commercial Trust Bank,1101 Brickell Avenue,MIAMI,FL,33131,25.763174,-80.191419,
Intercontinental Bank,5722 Southwest 8th Street,MIAMI,FL,33144,25.763534,-80.288393,http://www.intercontinentalbk.com
Plus International Bank,1000 Brickell Avenue  Suite 1100,MIAMI,FL,33131,25.764072,-80.191336,http://www.plusintbank.com
Espirito Santo Bank,999 Brickell Avenue,MIAMI,FL,33131,25.764199,-80.191117,
Helm Bank,999 Brickell Avenue,MIAMI,FL,33131,25.764227,-80.191147,http://www.helmbank.com
First Bank of Miami,3650 S.W. 8th Street,MIAMI,FL,33135,25.764702,-80.254201,http://www.firstbankmiami.com
General Bank  A Federal Savings Bank,3099 S W 8th Street,MIAMI,FL,33135,25.765018,-80.244858,
General Federal Savings Bank,3099 S.W. Eighth Street,MIAMI,FL,33135,25.765018,-80.244858,
International Finance Bank,888 Brickell Avenue,MIAMI,FL,33131,25.765279,-80.19102,
Pinebank  National Association,1001 Brickle Bay Drive,MIAMI,FL,33131,25.765607,-80.189551,http://www.pinebank.com
Skylake National Bank,801 Brickell Avenue  Suite 2300,MIAMI,FL,33131,25.766054,-80.190656,
International Finance Bank,801 Brickell Avenue,MIAMI,FL,33131,25.766131,-80.190602,http://www.intlfinancebank.com
Eastern National Bank,799 Brickell Avenue,MIAMI,FL,33122,25.766245,-80.190608,http://www.enbfl.com
Sun Bank of Miami,777 Brickell Avenue,MIAMI,FL,33131,25.766352,-80.190548,
Suntrust Bank  Miami  National Association,777 Brickell Avenue,MIAMI,FL,33131,25.766407,-80.190571,
Royal Trust Bank  National Association,627 S.W. 27th Avenue,MIAMI,FL,33135,25.766689,-80.238816,
Eagle National Bank of Miami,701 Brickell Avenue  Suite 1250,MIAMI,FL,33131,25.766966,-80.190441,
FirstBank Florida,701 Brickell Avenue  Suite 1700,MIAMI,FL,33131,25.766966,-80.190441,http://www.firstbankfla.com
Barnett Bank of South Florida  National Associatio,701 Brickell Avenue,MIAMI,FL,33131,25.766966,-80.190441,
Northern Trust Bank of Florida  National Association,700 Brickell Avenue,MIAMI,FL,33131,25.766994,-80.190582,http://www.ntrs.com
Northern Trust Bank of Florida  National Associati,700 Brickell Avenue,MIAMI,FL,33131,25.766994,-80.190582,
Flagship National Bank of Miami,631 Brickell Avenue,MIAMI,FL,33131,25.767619,-80.190276,
U. S. Century Bank,7575 West Flagler Street,MIAMI,FL,33144,25.769988,-80.317869,http://www.uscentury.com
First Florida Savings Bank  F.S.B.,4343 West Flagler Street,CORAL GABLES,FL,33134,25.771599,-80.266496,
Continental National Bank of Miami,1801 S.W. 1st Street,MIAMI,FL,33135,25.7718,-80.224926,http://www.continentalbank.com
Republic National Bank of Miami,10 N. W. 42nd Avenue,MIAMI,FL,33144,25.771871,-80.263715,
CJH Browning Bank,200 South Biscayne Boulevard  Suite 2650,MIAMI,FL,33131,25.772575,-80.18738,
Atico Savings Bank,101 S E Second Avenue,MIAMI,FL,33131,25.773342,-80.19022,
Intercontinental Bank  National Association,200 S.E. First Street  Suite 1001,MIAMI,FL,33131,25.773443,-80.19012,
Sun Bank of Riverside,60 N.W. 12th Avenue,MIAMI,FL,33135,25.774087,-80.214672,
TransAtlantic Bank,48 East Flagler Street,MIAMI,FL,33131,25.774187,-80.192789,http://www.transatlanticbank.com
Centrust Bank  A State Savings Bank,101 East Flagler Street,MIAMI,FL,33131,25.774219,-80.191824,
CenTrust Federal Savings Bank,101 East Flagler Street,MIAMI,FL,33131,25.774219,-80.191824,
Amerifirst Bank  A FSB,One S E Third Avenue,MIAMI,FL,33131,25.774222,-80.189031,
AmeriFirst Federal Savings Bank,One S.E. Third Avenue,MIAMI,FL,33131,25.774222,-80.189031,
Great Florida Bank,2 South Biscayne Boulevard  Suite 110,MIAMI,FL,33131,25.774262,-80.18769,http://www.greatfloridabank.com
Flagler Federal Savings and Loan Association,101 N E 1st Avenue,MIAMI,FL,33132,25.77516,-80.19195,
Miami Savings Bank,261 N E First Street,MIAMI,FL,33132,25.775258,-80.189257,
Safrabank,120 North Biscayne Boulevard,MIAMI,FL,33132,25.775404,-80.187845,
SafraBank National Association,120 North Biscayne Boulevard,MIAMI,FL,33132,25.775404,-80.187845,
Pan American Bank of Miami  National Association,127 Northeast First Avenue,MIAMI,FL,33132,25.775479,-80.191979,
Downtown National Bank,405 N.E. Second Avenue,MIAMI,FL,33132,25.778236,-80.190391,
Intercontinental Bank of Miami,3737 Northwest 7th Street,MIAMI,FL,33144,25.77889,-80.25671,
Ocean Bank,780 N.W. 42nd Avenue,MIAMI,FL,33126,25.77943,-80.264105,http://www.oceanbank.com
Interstate Bank of Commerce,10613 Northwest 12th Street,MIAMI,FL,33172,25.784245,-80.36842,
Popular Federal Savings and Loan Association,1627 N W 27th Avenue,MIAMI,FL,33125,25.789353,-80.239587,
Washington Federal Savings and Loan Association,1701 Meridian Avenue,CARL FISHER,FL,33139,25.792185,-80.13659,
New Biscayne Federal Savings and Loan Association,1776-90 Biscayne Blvd,MIAMI,FL,33132,25.795123,-80.189,
Pan American Bank of Miami Beach,2397 Collins Avenue,CARL FISHER,FL,33139,25.800059,-80.127316,
Eagle National Bank of Miami,8200 Northwest 33rd Street,MIAMI,FL,33122,25.8043,-80.329286,http://www.enbmiami.com
Southeast First National Bank of Miami Springs,4299 Northwest 36th Street,MIAMI SPRINGS,FL,33166,25.808392,-80.266505,
Hamilton Bank  National Association,3750 N.W. 87th Avenue  Suite 700,MIAMI,FL,33178,25.808592,-80.337423,
Pan American Bank of West Dade,7220 N.W. 36th Street,MIAMI SPRINGS,FL,33166,25.809263,-80.313789,
Central Bank,7970 N.W. 36th Street,MIAMI SPRINGS,FL,33166,25.809342,-80.326349,
Central Bank and Trust Company,1313 Northwest 36th Street,MIAMI,FL,33142,25.809735,-80.218027,
Hemisphere National Bank,8600 Nw 36th Street  Suite 800,MIAMI SPRINGS,FL,33166,25.809748,-80.33631,
The Hemisphere National Bank,8600 Nw 36th Street  Suite 800,MIAMI SPRINGS,FL,33166,25.809748,-80.33631,http://www.hnbfl.com
Citibank  Federal Savings Bank,8750 Doral Boulevard,MIAMI,FL,33178,25.81,-80.338378,
Jefferson Bank of Florida,301 Arthur Godfrey Road,MIAMI,FL,33140,25.813721,-80.126597,
Beach Bank,555 Arthur Godfrey Road,MIAMI,FL,33140,25.813847,-80.129915,http://www.beachbank.com
Great Eastern Bank of Florida,4601 N.W. 72nd Avenue,MIAMI SPRINGS,FL,33166,25.815336,-80.313345,http://www.gebf.com
National Bank of Florida,5000 Biscayne Boulevard,MIAMI,FL,33137,25.821526,-80.187327,
Community Federal Savings and Loan Association,801 Hialeah Drive,HIALEAH,FL,33010,25.823166,-80.265034,
Global Bank,1801 West Fourth Avenue,HIALEAH,FL,33010,25.8325367,-80.28079987,
Peoples National Bank of Commerce  Miami,3275 N.W. 79th Street,MIAMI,FL,33147,25.845799,-80.251057,
First State Bank of Miami,7900 N.E. 2nd Avenue,MIAMI SHORES,FL,33138,25.847655,-80.192795,
Miami National Bank,8101 Biscayne Boulevard,MIAMI SHORES,FL,33138,25.849507,-80.184691,
Interamerican Bank of Miami,8390 27th Avenue  N.W.,MIAMI,FL,33147,25.850528,-80.241956,
Ready State Bank,3700 West 12th Avenue,HIALEAH,FL,33012,25.855358,-80.306584,
City National Bank of Miami Beach,326 Seventy-First Street,NORTH BAY VILLAG,FL,33141,25.856082,-80.121698,
Commercial Bank & Trust Company,9301 N.W. 7th Avenue,MIAMI SHORES,FL,33138,25.859977,-80.209592,
Trust Bank,4445 West Sixteenth Avenue,HIALEAH,FL,33012,25.862321,-80.31475,
New Metropolitan Federal Savings and Loan Associat,1291 West 49th Street,HIALEAH,FL,33012,25.86539459,-80.30590057,
Flagship National Bank of Westland,1750 West 49th Street,HIALEAH,FL,33012,25.866526,-80.317245,
Consolidated Bank  National Association,900 West 49th Street,HIALEAH,FL,33012,25.866583,-80.301499,
Southeast Bank of Westland,1900 West 49th Street,HIALEAH,FL,33012,25.866658,-80.319161,
Metropolitan Federal Savings and Loan Association,1291 West 49th Street,HIALEAH,FL,33012,25.866663,-80.30848,
New Metropolitan Federal Savings Bank,1291 West 49th Street,HIALEAH,FL,33012,25.866663,-80.30848,
Tower Bank  National Association,8200 N.W. 103rd Street,HIALEAH,FL,33010,25.86923,-80.336318,
Bayshore Bank of Florida,10800 Biscayne Boulevard,NORTH MIAMI BEAC,FL,33181,25.874873,-80.170261,
Universal National Bank,17701 Biscayne Boulevard,NORTH MIAMI BEAC,FL,33160,25.87674,-80.16878,
Great American Bank of Dade County,11755 Biscayne Boulevard,NORTH MIAMI,FL,33161,25.882952,-80.189667,
Barnett Bank of Bay Harbor Islands  National Assoc,1108 Kane Concourse,BAL HARBOUR,FL,33154,25.88667,-80.131482,
Sun Bank of Bal Harbour  National Association,9600 Collins Avenue,BAL HARBOUR,FL,33154,25.887099,-80.122734,
City National Bank of North Miami,12550 Biscayne Boulevard,NORTH MIAMI,FL,33161,25.892087,-80.163014,
Florida First National Bank at Opa-Locka,13100 N.W. 27th Avenue,OPA LOCKA,FL,33054,25.893751,-80.24355,
North Miami First State Bank,13450 West Dixie Highway,NORTH MIAMI,FL,33161,25.899239,-80.179294,
Texas Commerce Bank-Rio Grande Valley,1034 East Levee Street,BROWNSVILLE,TX,78520,25.90148,-97.500039,
Mercantile Bank  National Association,835 East Levee Street,BROWNSVILLE,TX,78520,25.902835,-97.501473,
Brownsville Savings and Loan Association,East Levee At 7th,BROWNSVILLE,TX,78520,25.90377,-97.50246,
Financial Federal Bank  F.S.B.,6625 Miami Lakes Drive,HIALEAH,FL,33014,25.908921,-80.307023,
Royal Trust Bank of South Dade  N.A.,14801 South Dixie Highway,MIAMI,FL,33135,25.912037,-80.166189,
Enterprise Bank of Florida,6175 N.W. 153rd Street,HIALEAH,FL,33014,25.912374,-80.301165,
Kislak National Bank,7900 Miami Lakes Drive West,HIALEAH,FL,33016,25.913247,-80.329111,
Brownsville National Bank,629 East Elizabeth,BROWNSVILLE,TX,78520,25.913477,-97.511406,
International Bank  National Association,4520 East 14th Street,BROWNSVILLE,TX,78520,25.919964,-97.467461,
Miami Lakes First State Bank,16320 N.W. 57th Avenue,HIALEAH,FL,33014,25.920938,-80.293114,
Amigo Savings and Loan Association,3255 Boca Chica Boulevard,BROWNSVILLE,TX,78521,25.921048,-97.472355,
Amigo Federal Savings and Loan Association,3255 Boca Chica Boulevard,BROWNSVILLE,TX,78521,25.921048,-97.472355,
Peoples First National Bank of North Miami Beach,16101 West Dixie Highway,NORTH MIAMI BEAC,FL,33160,25.923826,-80.155803,
Truman Savings and Loan Association,1410 N E 163rd Street,NORTH MIAMI BEAC,FL,33160,25.925521,-80.171696,
Pan American Bank of Dade County,1323 N.E. 163rd Street,NORTH MIAMI BEAC,FL,33160,25.926022,-80.155923,
Southmost Savings and Loan Association,1623 Central Boulevard,BROWNSVILLE,TX,78520,25.926356,-97.511333,
County National Bank of South Florida,801 N.E. 167th Street,NORTH MIAMI BEAC,FL,33162,25.928674,-80.184059,
Jefferson National Bank at Sunny Isles,290 Sunny Isles Boulevard,NORTH MIAMI BEAC,FL,33160,25.92986,-80.121868,
Oceanmark Bank  A FSB,3845 N.E. 163rd St.,NORTH MIAMI BEAC,FL,33160,25.930221,-80.131102,
National Bank of Commerce of Brownsville,2300 Boca Chica Boulevard,BROWNSVILLE,TX,78520,25.93374252,-97.51741028,
National Bank of Collier County,State Road 951 And Collier Boulevard,MARCO ISLAND,FL,33937,25.93607,-81.73163,
American Savings of Florida  F.S.B.,17801 Nw Second Avenue,MIAMI,FL,33169,25.938037,-80.204649,
First Bank of Marco Island  National Associati,1100 North Collier Boulevard,MARCO ISLAND,FL,33937,25.93956757,-81.72039032,
Tropical Federal Savings and Loan Association,4801 N W 183rd Street,CAROL CITY,FL,33055,25.939711,-80.279598,
International Bank of Commerce,1600 F.M. 802,BROWNSVILLE,TX,78520,25.939838,-97.537151,http://www.iboc.com
Firstbank,1175 Fm 802,BROWNSVILLE,TX,78520,25.940248,-97.536679,
Orange State Bank,860 N.W. 183rd Street,MIAMI,FL,33169,25.941859,-80.216884,
Lincoln Federal Savings and Loan Association,18405 N.W. Second Avenue,MIAMI,FL,33169,25.943086,-80.206769,
Lincoln Savings and Loan Association,18405 N W Second Avenue,MIAMI,FL,33169,25.943086,-80.206769,
Central Bank of North Dade,18350 N.W. Second Avenue,MIAMI,FL,33169,25.943101,-80.20531,
Great American Bank of North Miami Beach,18201 Northeast 19th Avenue,NORTH MIAMI BEAC,FL,33162,25.94346,-80.162669,
Atlantic National Bank of Miami,18601 N.W. 27th Avenue,CAROL CITY,FL,33056,25.943914,-80.245375,
Texas Bank and Trust of Brownsville,3201 Central Boulevard,BROWNSVILLE,TX,78520,25.948307,-97.506178,
Island Bank of Collier County,615 Elkcam Circle,MARCO ISLAND,FL,33937,25.951556,-81.727696,
International Savings and Loan Association,2875 Ne 191st Street  Penthouse One,OJUS,FL,33180,25.952264,-80.143355,
International Federal Savings and Loan Association,2875 N.E. 191st Street  Penthouse One,OJUS,FL,33180,25.952264,-80.143355,
Turnberry Bank,20295 N.E. 29th Place,OJUS,FL,33180,25.961359,-80.141896,http://www.turnberrybank.com
First National Bank of Miramar,8250 Miramar Parkway,MIRAMAR,FL,33023,25.981416,-80.246573,
Southeast Bank of Miramar,6810 Miramar Parkway,MIRAMAR,FL,33023,25.981968,-80.223542,
Desjardins Bank  National Association,1001 East Hallandale Beach Boulevard,HALLANDALE,FL,33009,25.98501968,-80.14073944,http://www.desjardinsbank.com
Desjardins Federal Savings Bank,1001 East Hallandale Beach Boulevard,HALLANDALE,FL,33009,25.98501968,-80.14073944,
